Country	Code	GDP	Fertility	Population	Continent	Normalized	Logged	LogGDP
Afghanistan	AFG	594	4.7	32526562	Asia	5.060564543	7.512238162	2.774022597
Albania	ALB	3945	1.8	2889167	Europe	3.967317549	6.460772646	3.59607096
Algeria	DZA	4154	2.8	39666519	Africa	5.150175192	7.59842409	3.618479006
Angola	AGO	4101	6	25021974	Africa	4.942121312	7.398321568	3.612939767
Antigua and Barbuda	ATG	13715	2.1	91818	America	2.409953738	4.962927829	4.137187324
Argentina	ARG	13467	2.3	43416755	America	5.190967452	7.637657361	4.129284264
Armenia	ARM	3489	1.5	3017712	Europe	3.986973916	6.47967779	3.542716863
Australia	AUS	56291	1.8	23789752	Asia	4.919318173	7.376389915	4.750436239
Austria	AUT	43637	1.5	8638366	Europe	4.461877489	6.936431601	4.639852434
Azerbaijan	AZE	5497	2	9649341	Europe	4.511853516	6.984497654	3.740164323
Bahamas. The	BHS	22817	1.9	388019	America	3.060750928	5.588852992	4.358262937
Bahrain	BHR	22600	2	1377237	Asia	3.632767837	6.139008682	4.354112553
Bangladesh	BGD	1212	2.1	160995642	Asia	5.782740465	8.20681412	3.083395657
Barbados	BRB	15429	1.8	284215	America	2.920172328	5.453646995	4.188347362
Belarus	BLR	5755	1.7	9489616	Europe	4.504316451	6.977248639	3.760015288
Belgium	BEL	40454	1.7	11249420	Europe	4.581133729	7.051130132	4.606963295
Belize	BLZ	4879	2.5	359287	America	3.026011787	5.555441504	3.688306007
Benin	BEN	762	4.7	10879829	Africa	4.566049169	7.03662207	2.881984154
Bhutan	BTN	2656	2	774830	Asia	3.373039335	5.889206427	3.42422789
Bolivia	BOL	3077	2.9	10724705	America	4.55956463	7.030385355	3.488098111
Bosnia and Herzegovina	BIH	4249	1.3	3810416	Europe	4.092293604	6.580972392	3.628320491
Bermuda	BMU	36467	1.6	65235	America	2.255607817	4.814480667	4.57
Botswana	BWA	6360	2.8	2262485	Africa	3.856911123	6.354585709	3.803466554
Brazil	BRA	8678	1.8	207847528	America	5.898079199	8.317744864	3.93840804
Brunei Darussalam	BRN	30555	1.9	423188	Asia	3.099928563	5.626533344	4.485078446
Bulgaria	BGR	6993	1.5	7177991	Europe	4.37825285	6.856002909	3.844693173
Burkina Faso	BFA	590	5.4	18105570	Africa	4.796028606	7.257812202	2.770685928
Burundi	BDI	277	5.9	11178921	Africa	4.578294995	7.048399887	2.442586854
Cabo Verde	CPV	3080	2.3	520502	Africa	3.193389491	5.716422403	3.488575929
Cambodia	KHM	1159	2.6	15577899	Asia	4.728130367	7.192508884	3.063967223
Cameroon	CMR	1217	4.6	23344179	Africa	4.910780575	7.368178605	3.08538359
Canada	CAN	43316	1.6	35848610	America	5.104476937	7.554472321	4.636645342
Central African Republic	CAF	323	4.2	4900274	Africa	4.205882699	6.690220364	2.509473602
Chad	TCD	776	6.1	14037472	Africa	4.681113506	7.147288903	2.889691043
Chile	CHL	13416	1.7	17948141	America	4.792085167	7.254019473	4.127630496
China	CHN	8069	1.6	1371220000	Asia	6.75	9.137107139	3.906831122
Colombia	COL	6056	1.9	48228704	America	5.238429581	7.683305592	3.78219646
Comoros	COM	717	4.4	788474	Africa	3.380921524	5.896787377	2.855790944
Congo. Dem. Rep.	COD	456	5.9	77266814	Africa	5.451250539	7.887993005	2.65901507
Congo. Rep.	COG	1851	4.8	4620330	Africa	4.179320169	6.664672995	3.267453322
Costa Rica	CRI	11260	1.8	4807850	America	4.197284646	6.68195091	4.051541945
Cote d'Ivoire	CIV	1399	4.9	22701556	Africa	4.898175872	7.356055625	3.145814597
Croatia	HRV	11593	1.5	4203604	Europe	4.136637743	6.623621797	4.064192472
Cuba	CUB	7650	1.6	11389562	America	4.586724279	7.056507023	3.883674647
Cyprus	CYP	23075	1.4	1165300	Europe	3.557313192	6.066437746	4.363143831
Czech Republic	CZE	17557	1.5	10546059	Europe	4.551979588	7.023090197	4.244448437
Denmark	DNK	53015	1.7	5683483	Europe	4.272835695	6.754614565	4.724395851
Djibouti	DJI	1945	3.1	887861	Africa	3.434527841	5.94834498	3.288947358
Dominican Republic	DOM	6468	2.5	10528391	America	4.551222461	7.022362005	3.810801803
Ecuador	ECU	6205	2.5	16144363	America	4.74425879	7.208020914	3.792746275
Egypt. Arab Rep.	EGY	3615	3.3	91508084	Africa	5.527636291	7.961459462	3.558077878
El Salvador	SLV	4219	1.9	6126583	America	4.306735008	6.787218322	3.625245586
Equatorial Guinea	GNQ	14440	4.7	845060	Africa	3.412217765	5.926887545	4.159554996
Estonia	EST	17085	1.5	1314608	Europe	3.611752257	6.118796271	4.232602716
Ethiopia	ETH	619	4.3	99390750	Africa	5.564948798	7.997345968	2.791809489
Fiji	FJI	4961	2.5	892145	Asia	3.436701375	5.950435446	3.695527201
Finland	FIN	42403	1.7	5479531	Europe	4.256333855	6.738743388	4.627401372
France	FRA	36352	2	66538391	Europe	5.383750112	7.823072295	4.560534045
Gabon	GAB	8266	3.8	1725292	Africa	3.734510128	6.236862609	3.917318812
Gambia. The	GMB	472	5.7	1990924	Africa	3.799173492	6.299054682	2.673515956
Georgia	GEO	3757	1.8	3717100	Europe	4.081097569	6.570204245	3.574848693
Germany	DEU	41178	1.5	81679769	Europe	5.476330537	7.912114501	4.614670065
