Location;Months;Normal;Warmest;Coldest
debilt;January;2,8;5,2;0
debilt;February;3;6,1;-0,1
debilt;March;5,8;9,6;2
debilt;April;8,3;12,9;3,5
debilt;May;12,7;17,6;7,5
debilt;June;15,2;19,8;10,2
debilt;July;17,4;22,1;12,5
debilt;August;17,2;22,3;12
debilt;September;14,2;18,7;9,6
debilt;October;10,3;14,2;6,5
debilt;November;6,2;9,1;3,2
debilt;December;4;6,4;1,3
paris;January;4,7;6,9;2,5
paris;February;5,5;8,2;2,8
paris;March;8,4;11,8;5,1
paris;April;10,8;14,7;6,8
paris;May;14,8;19;10,5
paris;June;17,5;21,8;13,3
paris;July;20;24,4;15,5
paris;August;20;24,6;15,4
paris;September;16,6;20,8;12,5
paris;October;12,5;15,8;9,2
paris;November;7,9;10,4;5,3
paris;December;5,7;7,8;3,6
