Country	GDP	Export	Import	Code	Year
Belgium	391731	320461	315988	BEL	2013
Bulgaria	42012	27162	27334	BGR	2013
Czech Republic	157742	121258	112166	CZE	2013
Denmark	258743	141866	124769	DNK	2013
Germany (until 1990 former territory of the FRG)	2826240	1284744	1116353	DEU	2013
Estonia	18890	15956	15591	EST	2013
Ireland	180209	191183	157314	IRL	2013
Greece	180654	54835	59915	GRC	2013
Spain	1025634	330453	297062	ESP	2013
France	2115256	605134	644957	FRA	2013
Italy	1604599	463129	426888	ITA	2013
Cyprus	18118	10639	10308	CYP	2013
Latvia	22829	13767	14498	LVA	2013
Lithuania	35002	29388	28951	LTU	2013
Luxembourg	46551	89441	74286	LUX	2013
Hungary	101483	87275	80169	HUN	2013
Malta	7631	12070	11555	MLT	2013
Netherlands	652748	535320	465502	NLD	2013
Austria	322539	171566	163239	AUT	2013
Poland	394721	182840	175151	POL	2013
Portugal	170269	67284	65573	PRT	2013
Romania	144254	57338	58457	ROU	2013
Slovenia	35917	27005	24988	SVN	2013
Slovakia	74170	69586	66446	SVK	2013
Finland	203338	78924	80724	FIN	2013
Sweden	435752	190862	171220	SWE	2013
United Kingdom	2048328	609521	655724	GBR	2013
Iceland	11647	6453	5527	ISL	2013
Norway	393397	154193	112153	NOR	2013
Switzerland	515617	372822	310362	CHE	2013
Serbia	34263	14117	17786	SRB	2013
