Country	GDP	Export	Import	Code	Year
Belgium	400797	333478	329805	BEL	2014
Bulgaria	42762	27801	28204	BGR	2014
Czech Republic	156660	129316	119346	CZE	2014
Denmark	265233	144599	126142	DNK	2014
Germany (until 1990 former territory of the FRG)	2923930	1334833	1144106	DEU	2014
Estonia	19758	16411	15715	EST	2014
Ireland	193160	219790	185182	IRL	2014
Greece	177941	57838	62171	GRC	2014
Spain	1037025	338769	313698	ESP	2014
France	2139964	619459	661983	FRA	2014
Italy	1621827	475301	429026	ITA	2014
Cyprus	17567	10926	10565	CYP	2014
Latvia	23631	14068	14515	LVA	2014
Lithuania	36590	29599	28899	LTU	2014
Luxembourg	49971	103091	86110	LUX	2014
Hungary	104953	93047	85761	HUN	2014
Malta	8433	12644	11582	MLT	2014
Netherlands	663008	547415	475530	NLD	2014
Austria	330418	175175	164271	AUT	2014
Poland	410990	195586	189661	POL	2014
Portugal	173079	69360	69033	PRT	2014
Romania	150358	61935	62597	ROU	2014
Slovenia	37332	28518	25736	SVN	2014
Slovakia	75946	69721	67012	SVK	2014
Finland	205474	76482	78393	FIN	2014
Sweden	432691	194854	176181	SWE	2014
United Kingdom	2260805	634712	679647	GBR	2014
Iceland	12953	6899	6089	ISL	2014
Norway	375894	146075	112608	NOR	2014
Switzerland	530038	343797	281297	CHE	2014
Serbia	33319	14452	18066	SRB	2014
